symbol,note
AMKR,AI advanced packaging OSAT
BE,data-center fuel cells (taxonomy outlier: Energy/Industrial Machinery)
DELL,AI servers bellwether (ETF-churn backstop)
CORZ,AI neocloud (CoreWeave)
MARA,BTC miner with HPC pivot
WULF,BTC miner with HPC pivot
CLSK,BTC miner with HPC pivot
FORM,semiconductor probe cards
PLAB,photomasks
ACLS,ion implantation equipment
AEHR,semiconductor burn-in/test
UCTT,semiconductor fab subsystems
POWI,power semiconductors
DIOD,discrete/analog semiconductors
SLAB,mixed-signal MCUs/wireless
CRUS,mixed-signal audio/power ICs
MXL,broadband/networking ICs
OLED,OLED materials
AAOI,optical transceivers
RMBS,memory interface IP/chips
SITM,timing semiconductors
