symbol,bucket,confidence,source,etf_count,etfs,enabled,updated_utc
ACN,ai_enabler,1.0,etf,1,CIBR,1,2026-05-28T07:07:45.284376+00:00
ADP,ai_enabler,1.0,etf,1,XLI,1,2026-05-28T07:07:45.284376+00:00
AEE,ai_enabler,1.0,etf,1,XLU,1,2026-05-28T07:07:45.284376+00:00
AEP,ai_enabler,1.0,etf,3,"IFRA,IGF,XLU",1,2026-05-28T07:07:45.284376+00:00
AKAM,ai_enabler,1.0,etf,5,"BUG,CIBR,CLOU,IHAK,SKYY",1,2026-05-28T07:07:45.284376+00:00
ALRM,ai_enabler,1.0,etf,1,IHAK,1,2026-05-28T07:07:45.284376+00:00
AMD,ai_enabler,1.0,etf,1,DTCR,1,2026-05-28T07:07:45.284376+00:00
AMRZ,ai_enabler,1.0,etf,1,PAVE,1,2026-05-28T07:07:45.284376+00:00
AMT,ai_enabler,1.0,etf,2,"DTCR,SRVR",1,2026-05-28T07:07:45.284376+00:00
AMZN,ai_enabler,1.0,etf,1,SKYY,1,2026-05-28T07:07:45.284376+00:00
ANET,ai_enabler,1.0,etf,2,"CIBR,SKYY",1,2026-05-28T07:07:45.284376+00:00
APLD,ai_enabler,1.0,etf,1,DTCR,1,2026-05-28T07:07:45.284376+00:00
APP,ai_enabler,1.0,etf,1,SKYY,1,2026-05-28T07:07:45.284376+00:00
APTV,ai_enabler,1.0,etf,1,GRID,1,2026-05-28T07:07:45.284376+00:00
ASR,ai_enabler,1.0,etf,1,IGF,1,2026-05-28T07:07:45.284376+00:00
ATEN,ai_enabler,1.0,etf,2,"BUG,IHAK",1,2026-05-28T07:07:45.284376+00:00
ATI,ai_enabler,1.0,etf,1,PAVE,1,2026-05-28T07:07:45.284376+00:00
ATO,ai_enabler,1.0,etf,1,XLU,1,2026-05-28T07:07:45.284376+00:00
AVGO,ai_enabler,1.0,etf,2,"CIBR,DTCR",1,2026-05-28T07:07:45.284376+00:00
AWK,ai_enabler,1.0,etf,1,XLU,1,2026-05-28T07:07:45.284376+00:00
BA,ai_enabler,1.0,etf,1,XLI,1,2026-05-28T07:07:45.284376+00:00
BAH,ai_enabler,1.0,etf,2,"CIBR,IHAK",1,2026-05-28T07:07:45.284376+00:00
BOX,ai_enabler,1.0,etf,1,CLOU,1,2026-05-28T07:07:45.284376+00:00
BWXT,ai_enabler,1.0,etf,1,NLR,1,2026-05-28T07:07:45.284376+00:00
CACI,ai_enabler,1.0,etf,1,IHAK,1,2026-05-28T07:07:45.284376+00:00
CALX,ai_enabler,1.0,etf,1,IHAK,1,2026-05-28T07:07:45.284376+00:00
CAT,ai_enabler,1.0,etf,2,"IFRA,XLI",1,2026-05-28T07:07:45.284376+00:00
CCI,ai_enabler,1.0,etf,2,"DTCR,SRVR",1,2026-05-28T07:07:45.284376+00:00
CCJ,ai_enabler,1.0,etf,2,"NLR,SRVR",1,2026-05-28T07:07:45.284376+00:00
CEG,ai_enabler,1.0,etf,4,"IFRA,IGF,NLR,XLU",1,2026-05-28T07:07:45.284376+00:00
CHKP,ai_enabler,1.0,etf,3,"BUG,CIBR,IHAK",1,2026-05-28T07:07:45.284376+00:00
CMCSA,ai_enabler,1.0,etf,1,IXP,1,2026-05-28T07:07:45.284376+00:00
CMI,ai_enabler,1.0,etf,1,XLI,1,2026-05-28T07:07:45.284376+00:00
CNP,ai_enabler,1.0,etf,1,XLU,1,2026-05-28T07:07:45.284376+00:00
CRH,ai_enabler,1.0,etf,2,"IFRA,PAVE",1,2026-05-28T07:07:45.284376+00:00
CRM,ai_enabler,1.0,etf,1,CLOU,1,2026-05-28T07:07:45.284376+00:00
CRWD,ai_enabler,1.0,etf,3,"BUG,CIBR,IHAK",1,2026-05-28T07:07:45.284376+00:00
